pokemon_id,name,type,level,attack,defense,hp,speed,special_attack,special_defense
1,Bulbasaur,Grass,15,49,49,45,45,65,65
2,Ivysaur,Grass,30,62,63,60,60,80,80
3,Venusaur,Grass,45,82,83,80,80,100,100
4,Charmander,Fire,18,52,43,39,65,60,50
5,Charmeleon,Fire,36,64,58,58,80,80,65
6,Charizard,Fire,60,84,78,78,100,109,85
7,Squirtle,Water,16,48,65,44,43,50,64
8,Wartortle,Water,32,63,80,59,58,65,80
9,Blastoise,Water,50,83,100,79,78,85,105
10,Pikachu,Electric,20,55,40,35,90,50,50
11,Raichu,Electric,45,90,55,60,110,90,80
12,Jigglypuff,Fairy,12,45,20,115,20,45,25
13,Wigglytuff,Fairy,30,70,45,140,45,85,50
14,Gengar,Ghost,30,65,60,60,110,130,75
15,Onix,Rock,28,45,160,35,70,30,45
16,Drowzee,Psychic,25,48,45,60,42,43,90
17,Hypno,Psychic,50,73,70,85,67,73,115
18,Snorlax,Normal,35,110,65,160,30,65,110
19,Mewtwo,Psychic,70,110,90,106,130,154,90
20,Lugia,Psychic,80,150,130,150,110,154,154
21,Espeon,Psychic,40,65,60,95,110,130,95
22,Umbreon,Dark,40,65,110,95,65,60,130
23,Machop,Fighting,28,80,50,70,35,35,35
24,Machoke,Fighting,40,100,70,80,45,50,60
25,Machamp,Fighting,60,130,80,90,55,65,75
26,Magnemite,Electric,20,35,70,25,45,95,55
27,Magneton,Electric,40,60,95,50,70,120,70
28,Farfetch’d,Normal,32,65,55,52,60,58,62
29,Doduo,Normal,25,85,45,35,75,35,35
30,Dodrio,Normal,45,110,70,60,100,60,60
31,Seel,Water,30,45,55,65,45,45,70
32,Dewgong,Water,50,70,80,90,70,70,95
33,Grimer,Poison,25,80,50,80,25,40,40
34,Muk,Poison,40,105,75,105,50,65,65
35,Shellder,Water,18,65,100,30,40,45,25
36,Cloyster,Water,40,95,180,50,70,85,45
37,Gastly,Ghost,20,35,30,30,80,100,35
38,Haunter,Ghost,35,50,45,45,95,115,55
39,Gengar,Ghost,50,65,60,60,110,130,75
40,Onix,Rock,30,45,160,35,70,30,45
41,Drowzee,Psychic,30,48,45,60,42,43,90
42,Hypno,Psychic,55,73,70,85,67,73,115
43,Krabby,Water,25,105,90,30,50,25,25
44,Kingler,Water,50,130,115,55,75,50,50
45,Voltorb,Electric,20,30,50,40,100,55,55
46,Electrode,Electric,40,50,70,60,140,80,80
47,Exeggcute,Grass,30,40,80,60,40,60,45
48,Exeggutor,Grass,60,95,85,95,55,125,75
49,Cubone,Ground,28,50,95,45,35,40,50
50,Marowak,Ground,50,80,110,60,45,50,70
